Command Line Args: Namespace(config_file='./configs/C100_WRN28x1-BN-ReLU_SGD.yaml', weight_file='./outputs/C100_WRN28x1-BN-ReLU_SGD_20211014/best_acc1.pth.tar', ensemble_size=8, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.6917  1.2164  0.1124  0.6259  0.0000
      2  0.7247  1.0003  0.0266  0.7747  1.0543
      3  0.7425  0.9287  0.0246  0.8445  1.0536
      4  0.7499  0.8928  0.0279  0.8834  1.0527
      5  0.7555  0.8692  0.0370  0.9056  1.0519
      6  0.7615  0.8528  0.0441  0.9225  1.0463
      7  0.7611  0.8451  0.0476  0.9342  1.0454
      8  0.7663  0.8357  0.0528  0.9454  1.0395

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.6917  1.1002  0.0125  1.1395  1.5102
      2  0.7247  0.9797  0.0318  0.9920  1.2102
      3  0.7425  0.9256  0.0343  0.9286  1.0781
      4  0.7499  0.8928  0.0316  0.9007  1.0156
      5  0.7555  0.8686  0.0308  0.8748  0.9727
      6  0.7615  0.8506  0.0294  0.8590  0.9445
      7  0.7611  0.8415  0.0283  0.8463  0.9242
      8  0.7663  0.8301  0.0261  0.8326  0.9039

