Command Line Args: Namespace(config_file='./configs/C10_WRN28x1-BN-ReLU_Dropout.yaml', weight_file='./outputs/C10_WRN28x1-BN-ReLU_Dropout_20211014/best_acc1.pth.tar', ensemble_size=30, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.9288  0.2717  0.0392  0.0900  0.0000
      2  0.9316  0.2478  0.0307  0.1015  0.0572
      3  0.9342  0.2390  0.0273  0.1046  0.0546
      4  0.9351  0.2342  0.0257  0.1066  0.0542
      5  0.9350  0.2319  0.0267  0.1078  0.0536
      6  0.9347  0.2301  0.0258  0.1086  0.0539
      7  0.9347  0.2292  0.0259  0.1090  0.0537
      8  0.9344  0.2270  0.0252  0.1097  0.0541
      9  0.9349  0.2257  0.0243  0.1107  0.0547
     10  0.9355  0.2254  0.0239  0.1108  0.0546
     11  0.9358  0.2249  0.0234  0.1110  0.0544
     12  0.9356  0.2244  0.0236  0.1112  0.0542
     13  0.9357  0.2240  0.0235  0.1115  0.0545
     14  0.9362  0.2238  0.0230  0.1117  0.0547
     15  0.9358  0.2237  0.0229  0.1119  0.0548
     16  0.9354  0.2235  0.0238  0.1121  0.0548
     17  0.9355  0.2230  0.0233  0.1123  0.0548
     18  0.9364  0.2226  0.0237  0.1124  0.0547
     19  0.9358  0.2226  0.0229  0.1125  0.0546
     20  0.9360  0.2227  0.0232  0.1125  0.0544
     21  0.9352  0.2225  0.0234  0.1126  0.0543
     22  0.9357  0.2227  0.0229  0.1126  0.0544
     23  0.9357  0.2227  0.0229  0.1125  0.0542
     24  0.9359  0.2225  0.0227  0.1125  0.0541
     25  0.9360  0.2221  0.0226  0.1125  0.0539
     26  0.9361  0.2219  0.0225  0.1126  0.0539
     27  0.9366  0.2218  0.0226  0.1127  0.0540
     28  0.9363  0.2215  0.0225  0.1127  0.0540
     29  0.9364  0.2216  0.0224  0.1127  0.0539
     30  0.9361  0.2215  0.0226  0.1127  0.0539

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.9288  0.2238  0.0077  0.2178  1.6172
      2  0.9316  0.2139  0.0063  0.2079  1.5227
      3  0.9342  0.2096  0.0062  0.2052  1.4930
      4  0.9351  0.2073  0.0069  0.2041  1.4758
      5  0.9350  0.2063  0.0051  0.2020  1.4602
      6  0.9347  0.2055  0.0073  0.2016  1.4531
      7  0.9347  0.2050  0.0079  0.2013  1.4484
      8  0.9344  0.2038  0.0069  0.2005  1.4414
      9  0.9349  0.2033  0.0057  0.2009  1.4375
     10  0.9355  0.2031  0.0071  0.2013  1.4375
     11  0.9358  0.2029  0.0067  0.2014  1.4359
     12  0.9356  0.2027  0.0069  0.2014  1.4344
     13  0.9357  0.2025  0.0069  0.2015  1.4328
     14  0.9362  0.2024  0.0064  0.2019  1.4328
     15  0.9358  0.2024  0.0073  0.2019  1.4320
     16  0.9354  0.2024  0.0059  0.2016  1.4297
     17  0.9355  0.2020  0.0065  0.2019  1.4297
     18  0.9364  0.2018  0.0055  0.2018  1.4289
     19  0.9358  0.2018  0.0065  0.2022  1.4297
     20  0.9360  0.2020  0.0063  0.2018  1.4273
     21  0.9352  0.2019  0.0054  0.2017  1.4266
     22  0.9357  0.2021  0.0045  0.2016  1.4258
     23  0.9357  0.2020  0.0049  0.2015  1.4258
     24  0.9359  0.2019  0.0048  0.2015  1.4258
     25  0.9360  0.2016  0.0048  0.2017  1.4258
     26  0.9361  0.2015  0.0048  0.2016  1.4250
     27  0.9366  0.2015  0.0053  0.2015  1.4242
     28  0.9363  0.2013  0.0059  0.2014  1.4234
     29  0.9364  0.2013  0.0057  0.2012  1.4227
     30  0.9361  0.2012  0.0055  0.2012  1.4227

Command Line Args: Namespace(config_file='./configs/C10_WRN28x1-BN-ReLU_Dropout.yaml', weight_file='./outputs/C10_WRN28x1-BN-ReLU_Dropout_20211014/best_acc1.pth.tar', ensemble_size=100, ensemble_progress=False, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.9323  0.2678  0.0353  0.0908  0.0000
    100  0.9358  0.2198  0.0230  0.1133  0.0539

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.9323  0.2216  0.0067  0.2245  1.6391
    100  0.9358  0.2004  0.0049  0.1998  1.4102

