Command Line Args: Namespace(config_file='./configs/C100_WRN28x10-BN-ReLU/C100_WRN28x10-BN-ReLU_SGD.yaml', weight_file='./outputs/C100_WRN28x10-BN-ReLU/SGD_20211016b/best_acc1.pth.tar', ensemble_size=8, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8050  0.8007  0.0584  0.6338  0.0000
      2  0.8168  0.7091  0.0260  0.7254  0.3456
      3  0.8236  0.6764  0.0227  0.7526  0.3521
      4  0.8248  0.6599  0.0213  0.7614  0.3557
      5  0.8300  0.6486  0.0250  0.7730  0.3530
      6  0.8301  0.6413  0.0256  0.7787  0.3520
      7  0.8314  0.6350  0.0257  0.7780  0.3514
      8  0.8303  0.6302  0.0217  0.7784  0.3537

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8050  0.7922  0.0398  0.8383  1.1453
      2  0.8168  0.7093  0.0252  0.7369  1.0078
      3  0.8236  0.6745  0.0251  0.6990  0.9641
      4  0.8248  0.6564  0.0238  0.6784  0.9445
      5  0.8300  0.6434  0.0216  0.6702  0.9320
      6  0.8301  0.6347  0.0228  0.6561  0.9187
      7  0.8314  0.6278  0.0235  0.6496  0.9148
      8  0.8303  0.6224  0.0217  0.6432  0.9102

