Command Line Args: Namespace(config_file='./configs/C100_WRN28x10-BN-ReLU/C100_WRN28x10-BN-ReLU_SpatialDropout.yaml', weight_file='./outputs/C100_WRN28x10-BN-ReLU/SpatialDropout/20211028_p01_e20/best_acc1.pth.tar', ensemble_size=30, ensemble_progress=False, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.7994  0.8206  0.0633  0.6102  0.0000
     30  0.8041  0.7685  0.0503  0.6381  0.0735

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.7994  0.8057  0.0446  0.8295  1.1680
     30  0.8041  0.7627  0.0387  0.7780  1.1039

Command Line Args: Namespace(config_file='./configs/C100_WRN28x10-BN-ReLU/C100_WRN28x10-BN-ReLU_SpatialDropout.yaml', weight_file='./outputs/C100_WRN28x10-BN-ReLU/SpatialDropout/20211028_p01_e20/best_acc1.pth.tar', ensemble_size=30, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8006  0.8218  0.0675  0.6016  0.0000
      2  0.8041  0.7963  0.0572  0.6179  0.0726
      3  0.8052  0.7890  0.0532  0.6237  0.0709
      4  0.8052  0.7833  0.0539  0.6260  0.0711
      5  0.8050  0.7796  0.0527  0.6286  0.0713
      6  0.8048  0.7776  0.0523  0.6302  0.0716
      7  0.8052  0.7759  0.0507  0.6311  0.0720
      8  0.8052  0.7748  0.0509  0.6317  0.0720
      9  0.8052  0.7734  0.0506  0.6323  0.0723
     10  0.8056  0.7737  0.0510  0.6324  0.0725
     11  0.8045  0.7733  0.0524  0.6330  0.0000
     12  0.8055  0.7722  0.0509  0.6337  0.0000
     13  0.8047  0.7724  0.0499  0.6340  0.0000
     14  0.8048  0.7723  0.0484  0.6346  0.0000
     15  0.8046  0.7719  0.0492  0.6351  0.0000
     16  0.8047  0.7712  0.0497  0.6353  0.0000
     17  0.8055  0.7706  0.0507  0.6355  0.0000
     18  0.8057  0.7703  0.0511  0.6356  0.0000
     19  0.8052  0.7705  0.0514  0.6358  0.0000
     20  0.8048  0.7704  0.0519  0.6359  0.0000
     21  0.8049  0.7703  0.0514  0.6359  0.0000
     22  0.8052  0.7704  0.0523  0.6359  0.0000
     23  0.8053  0.7706  0.0509  0.6361  0.0000
     24  0.8049  0.7702  0.0505  0.6360  0.0000
     25  0.8052  0.7696  0.0503  0.6361  0.0000
     26  0.8047  0.7694  0.0502  0.6362  0.0000
     27  0.8046  0.7693  0.0504  0.6361  0.0000
     28  0.8050  0.7690  0.0506  0.6362  0.0000
     29  0.8045  0.7688  0.0506  0.6364  0.0000
     30  0.8044  0.7685  0.0503  0.6365  0.0000

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8006  0.8054  0.0477  0.8168  1.1656
      2  0.8041  0.7854  0.0431  0.7984  1.1375
      3  0.8052  0.7796  0.0419  0.7907  1.1266
      4  0.8052  0.7748  0.0423  0.7875  1.1219
      5  0.8050  0.7717  0.0408  0.7844  1.1172
      6  0.8048  0.7702  0.0400  0.7808  1.1133
      7  0.8052  0.7686  0.0382  0.7789  1.1109
      8  0.8052  0.7678  0.0387  0.7764  1.1086
      9  0.8052  0.7665  0.0367  0.7761  1.1078
     10  0.8056  0.7669  0.0371  0.7753  1.1070
     11  0.8045  0.7665  0.0380  0.7749  1.1063
     12  0.8055  0.7656  0.0380  0.7758  1.1063
     13  0.8047  0.7658  0.0384  0.7752  1.1055
     14  0.8048  0.7657  0.0383  0.7760  1.1055
     15  0.8046  0.7655  0.0378  0.7754  1.1047
     16  0.8047  0.7648  0.0372  0.7747  1.1039
     17  0.8055  0.7644  0.0384  0.7750  1.1039
     18  0.8057  0.7641  0.0384  0.7741  1.1031
     19  0.8052  0.7643  0.0385  0.7743  1.1031
     20  0.8048  0.7642  0.0382  0.7744  1.1031
     21  0.8049  0.7641  0.0390  0.7733  1.1023
     22  0.8052  0.7642  0.0394  0.7734  1.1023
     23  0.8053  0.7643  0.0380  0.7736  1.1023
     24  0.8049  0.7640  0.0394  0.7735  1.1023
     25  0.8052  0.7635  0.0393  0.7714  1.1008
     26  0.8047  0.7633  0.0392  0.7727  1.1016
     27  0.8046  0.7632  0.0396  0.7726  1.1016
     28  0.8050  0.7629  0.0400  0.7727  1.1016
     29  0.8045  0.7628  0.0398  0.7719  1.1008
     30  0.8044  0.7625  0.0394  0.7720  1.1008

