Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_SGD.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/HMC/model_c03_e290.pth.tar', num_cycles=3, num_epochs=290, num_last_epochs=10, ensemble_progress=False, opts=[])

Standard metrics on test examples:
  # per cycle     ACC     NLL     ECE     ENT     KLD
-------------  ------  ------  ------  ------  ------
            1  0.8753  0.4423  0.0283  0.2960  1.0895
           10  0.8996  0.3222  0.0421  0.3919  1.0216

Calibrated metrics on test examples:
  # per cycle     ACC     NLL     ECE     ENT     KLD
-------------  ------  ------  ------  ------  ------
            1  0.8753  0.4165  0.0441  0.3959  1.3547
           10  0.8996  0.3160  0.0103  0.2941  0.7719

Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_SGD.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/HMC/model_c03_e290.pth.tar', num_cycles=3, num_epochs=290, num_last_epochs=290, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # per cycle     ACC     NLL     ECE     ENT     KLD
-------------  ------  ------  ------  ------  ------
            1  0.8753  0.4423  0.0283  0.2960  1.0895
            2  0.8879  0.3720  0.0311  0.3425  1.0353
            3  0.8924  0.3534  0.0331  0.3624  1.0308
            4  0.8953  0.3417  0.0359  0.3739  1.0253
            5  0.8957  0.3339  0.0375  0.3814  1.0270
            6  0.8988  0.3289  0.0407  0.3861  1.0243
            7  0.8987  0.3266  0.0408  0.3876  1.0237
            8  0.8998  0.3252  0.0423  0.3894  1.0227
            9  0.8990  0.3246  0.0410  0.3888  1.0186
           10  0.8996  0.3222  0.0421  0.3919  1.0216
           11  0.8994  0.3218  0.0419  0.3924  0.0000
           12  0.8992  0.3212  0.0430  0.3933  0.0000
           13  0.8994  0.3214  0.0429  0.3942  0.0000
           14  0.8996  0.3203  0.0425  0.3957  0.0000
           15  0.9002  0.3197  0.0434  0.3974  0.0000
           16  0.9004  0.3190  0.0439  0.3986  0.0000
           17  0.9011  0.3187  0.0446  0.3992  0.0000
           18  0.9003  0.3182  0.0446  0.4013  0.0000
           19  0.9007  0.3182  0.0448  0.4022  0.0000
           20  0.9001  0.3182  0.0446  0.4031  0.0000
           21  0.8998  0.3180  0.0443  0.4038  0.0000
           22  0.8995  0.3170  0.0441  0.4048  0.0000
           23  0.8995  0.3167  0.0444  0.4061  0.0000
           24  0.9005  0.3158  0.0454  0.4067  0.0000
           25  0.9009  0.3153  0.0461  0.4076  0.0000
           26  0.9007  0.3148  0.0459  0.4083  0.0000
           27  0.9011  0.3145  0.0463  0.4089  0.0000
           28  0.9009  0.3143  0.0462  0.4091  0.0000
           29  0.9000  0.3141  0.0453  0.4098  0.0000
           30  0.9001  0.3138  0.0463  0.4103  0.0000
           31  0.9002  0.3135  0.0458  0.4111  0.0000
           32  0.8999  0.3134  0.0461  0.4119  0.0000
