Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_Dropout.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/Dropout_20211027/best_acc1.pth.tar', ensemble_size=50, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8435  0.5585  0.0797  0.2335  0.0000
      2  0.8602  0.4511  0.0357  0.2903  0.3233
      3  0.8651  0.4223  0.0273  0.3108  0.3220
      4  0.8660  0.4061  0.0218  0.3212  0.3190
      5  0.8683  0.3969  0.0178  0.3290  0.3206
      6  0.8705  0.3903  0.0135  0.3343  0.3218
      7  0.8707  0.3837  0.0122  0.3380  0.3219
      8  0.8708  0.3802  0.0116  0.3402  0.3219
      9  0.8719  0.3783  0.0120  0.3427  0.3222
     10  0.8704  0.3759  0.0109  0.3442  0.0000
     11  0.8724  0.3739  0.0084  0.3458  0.0000
     12  0.8727  0.3726  0.0092  0.3470  0.0000
     13  0.8721  0.3718  0.0087  0.3480  0.0000
     14  0.8729  0.3703  0.0082  0.3492  0.0000
     15  0.8738  0.3694  0.0092  0.3503  0.0000
     16  0.8745  0.3681  0.0089  0.3512  0.0000
     17  0.8744  0.3676  0.0067  0.3516  0.0000
     18  0.8743  0.3677  0.0070  0.3517  0.0000
     19  0.8738  0.3664  0.0074  0.3525  0.0000
     20  0.8747  0.3661  0.0070  0.3531  0.0000
     21  0.8739  0.3653  0.0079  0.3533  0.0000
     22  0.8747  0.3648  0.0085  0.3539  0.0000
     23  0.8746  0.3645  0.0067  0.3542  0.0000
     24  0.8758  0.3640  0.0072  0.3543  0.0000
     25  0.8757  0.3639  0.0074  0.3547  0.0000
     26  0.8755  0.3634  0.0085  0.3549  0.0000
     27  0.8757  0.3631  0.0071  0.3550  0.0000
     28  0.8759  0.3630  0.0083  0.3552  0.0000
     29  0.8760  0.3629  0.0097  0.3554  0.0000
     30  0.8761  0.3629  0.0086  0.3557  0.0000
     31  0.8764  0.3627  0.0080  0.3557  0.0000
     32  0.8765  0.3627  0.0075  0.3560  0.0000
     33  0.8760  0.3627  0.0070  0.3560  0.0000
     34  0.8764  0.3627  0.0064  0.3561  0.0000
     35  0.8765  0.3625  0.0060  0.3562  0.0000
     36  0.8770  0.3624  0.0080  0.3563  0.0000
     37  0.8773  0.3621  0.0074  0.3563  0.0000
     38  0.8769  0.3615  0.0080  0.3564  0.0000
     39  0.8763  0.3613  0.0081  0.3566  0.0000
     40  0.8769  0.3614  0.0073  0.3567  0.0000
     41  0.8770  0.3616  0.0090  0.3568  0.0000
     42  0.8766  0.3613  0.0066  0.3569  0.0000
     43  0.8774  0.3614  0.0067  0.3568  0.0000
     44  0.8770  0.3613  0.0067  0.3569  0.0000
     45  0.8772  0.3614  0.0068  0.3569  0.0000
     46  0.8775  0.3611  0.0068  0.3568  0.0000
     47  0.8768  0.3610  0.0052  0.3571  0.0000
     48  0.8775  0.3608  0.0063  0.3571  0.0000
