Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_Dropout.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/Dropout_20211031/best_acc1.pth.tar', ensemble_size=30, ensemble_progress=False, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8377  0.5697  0.0815  0.2459  0.0000
     30  0.8723  0.3803  0.0098  0.3699  0.3293

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8377  0.5034  0.0251  0.4941  1.4664
     30  0.8723  0.3802  0.0089  0.3797  1.0187

Command Line Args: Namespace(config_file='./configs/C10_R20-FRN-SiLU/C10_R20-FRN-SiLU_Dropout.yaml', weight_file='./outputs/C10_R20-FRN-SiLU/Dropout_20211031/best_acc1.pth.tar', ensemble_size=30, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8377  0.5698  0.0824  0.2447  0.0000
      2  0.8558  0.4667  0.0373  0.3006  0.3267
      3  0.8609  0.4375  0.0247  0.3225  0.3265
      4  0.8654  0.4227  0.0213  0.3344  0.3283
      5  0.8676  0.4119  0.0148  0.3420  0.3282
      6  0.8681  0.4057  0.0158  0.3463  0.3278
      7  0.8692  0.4008  0.0133  0.3513  0.3301
      8  0.8710  0.3973  0.0124  0.3540  0.3293
      9  0.8701  0.3928  0.0116  0.3556  0.3282
     10  0.8713  0.3893  0.0116  0.3578  0.3285
     11  0.8707  0.3889  0.0083  0.3600  0.0000
     12  0.8712  0.3864  0.0078  0.3615  0.0000
     13  0.8708  0.3849  0.0077  0.3625  0.0000
     14  0.8704  0.3836  0.0080  0.3634  0.0000
     15  0.8711  0.3825  0.0073  0.3643  0.0000
     16  0.8707  0.3814  0.0081  0.3650  0.0000
     17  0.8707  0.3818  0.0078  0.3660  0.0000
     18  0.8722  0.3814  0.0086  0.3666  0.0000
     19  0.8726  0.3817  0.0096  0.3672  0.0000
     20  0.8725  0.3810  0.0085  0.3677  0.0000
     21  0.8713  0.3803  0.0080  0.3683  0.0000
     22  0.8709  0.3801  0.0073  0.3688  0.0000
     23  0.8728  0.3799  0.0075  0.3692  0.0000
     24  0.8719  0.3794  0.0070  0.3694  0.0000
     25  0.8726  0.3789  0.0076  0.3699  0.0000
     26  0.8724  0.3788  0.0091  0.3700  0.0000
     27  0.8732  0.3786  0.0078  0.3702  0.0000
     28  0.8735  0.3780  0.0074  0.3704  0.0000
     29  0.8735  0.3779  0.0063  0.3706  0.0000
     30  0.8732  0.3778  0.0072  0.3708  0.0000

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8377  0.5029  0.0213  0.5093  1.4922
      2  0.8558  0.4452  0.0104  0.4507  1.2938
      3  0.8609  0.4265  0.0077  0.4297  1.2117
      4  0.8654  0.4160  0.0104  0.4169  1.1633
      5  0.8676  0.4075  0.0095  0.4067  1.1281
      6  0.8681  0.4025  0.0091  0.4008  1.1078
      7  0.8692  0.3986  0.0115  0.3981  1.0922
      8  0.8710  0.3956  0.0147  0.3950  1.0805
      9  0.8701  0.3915  0.0107  0.3915  1.0703
     10  0.8713  0.3884  0.0093  0.3894  1.0617
     11  0.8707  0.3881  0.0083  0.3881  1.0547
     12  0.8712  0.3858  0.0094  0.3873  1.0500
     13  0.8708  0.3844  0.0079  0.3868  1.0469
     14  0.8704  0.3832  0.0079  0.3856  1.0430
     15  0.8711  0.3822  0.0082  0.3850  1.0398
     16  0.8707  0.3812  0.0109  0.3845  1.0375
     17  0.8707  0.3815  0.0077  0.3838  1.0344
     18  0.8722  0.3812  0.0097  0.3836  1.0328
     19  0.8726  0.3815  0.0113  0.3839  1.0320
     20  0.8725  0.3808  0.0078  0.3832  1.0297
     21  0.8713  0.3802  0.0101  0.3834  1.0289
     22  0.8709  0.3799  0.0067  0.3822  1.0258
     23  0.8728  0.3798  0.0091  0.3815  1.0234
     24  0.8719  0.3793  0.0084  0.3812  1.0227
     25  0.8726  0.3788  0.0089  0.3817  1.0227
     26  0.8724  0.3787  0.0069  0.3810  1.0211
     27  0.8732  0.3786  0.0084  0.3813  1.0211
     28  0.8735  0.3779  0.0079  0.3810  1.0203
     29  0.8735  0.3779  0.0072  0.3804  1.0187
     30  0.8732  0.3778  0.0075  0.3802  1.0180

