Command Line Args: Namespace(config_file='./configs/C10_WRN28x1-BN-ReLU/C10_WRN28x1-BN-ReLU_BE4.yaml', weight_file='./outputs/C10_WRN28x1-BN-ReLU/BE4_20211017a/best_acc1.pth.tar', opts=[])

Standard metrics on test examples:
Label         ACC     NLL     ECE     ENT     KLD
---------  ------  ------  ------  ------  ------
Member #0  0.9296  0.3148  0.0456  0.0644  0.0000
Member #1  0.9300  0.3129  0.0458  0.0636  0.0000
Member #2  0.9311  0.3187  0.0448  0.0632  0.0000
Member #3  0.9291  0.3161  0.0466  0.0642  0.0000
Ensemble   0.9318  0.2949  0.0413  0.0704  0.0192

Calibrated metrics on test examples:
# Ens         ACC     NLL     ECE     ENT      TS
---------  ------  ------  ------  ------  ------
Member #0  0.9296  0.2119  0.0083  0.2017  2.1922
Member #1  0.9300  0.2105  0.0057  0.2012  2.1977
Member #2  0.9311  0.2126  0.0052  0.2030  2.2164
Member #3  0.9291  0.2124  0.0071  0.2030  2.2016
Ensemble   0.9318  0.2077  0.0060  0.1982  2.0969

